account_id,person_id,account_type,bank_alias,opening_date,branch_location_id,ownership_confidence
ACCOUNT_00037,PERSON_1468,current,SynthBank_Alpha,2023-12-03 22:39:10,LOCATION_0063,0.78
ACCOUNT_00038,PERSON_1203,savings,SynthBank_Alpha,2022-11-11 15:50:10,LOCATION_0253,0.76
ACCOUNT_00039,PERSON_0392,savings,SynthBank_Alpha,2023-04-25 08:56:56,LOCATION_0058,0.9
ACCOUNT_00040,PERSON_0833,current,SynthBank_Beta,2023-04-29 21:13:24,LOCATION_0273,0.89
ACCOUNT_00041,PERSON_0427,savings,SynthBank_Delta,2025-03-26 16:01:43,LOCATION_0101,0.98
ACCOUNT_00042,PERSON_1190,current,SynthBank_Alpha,2023-12-03 05:25:06,LOCATION_0219,0.86
ACCOUNT_00043,PERSON_1170,savings,SynthBank_Omega,2022-06-01 15:39:24,LOCATION_0117,0.89
ACCOUNT_00044,PERSON_0713,savings,SynthBank_Gamma,2023-10-05 14:30:59,LOCATION_0200,0.89
ACCOUNT_00045,PERSON_1341,savings,SynthBank_Beta,2022-02-21 13:35:32,LOCATION_0277,0.91
ACCOUNT_00046,PERSON_0962,savings,SynthBank_Gamma,2023-07-28 17:28:59,LOCATION_0243,0.76
ACCOUNT_00047,PERSON_0725,current,SynthBank_Beta,2023-07-21 22:11:50,LOCATION_0135,0.79
ACCOUNT_00048,PERSON_0671,current,SynthBank_Alpha,2025-12-09 09:20:38,LOCATION_0016,0.83
ACCOUNT_00049,PERSON_0748,current,SynthBank_Alpha,2022-09-17 15:11:12,LOCATION_0207,0.78
ACCOUNT_00050,PERSON_0405,current,SynthBank_Beta,2023-06-14 09:04:04,LOCATION_0112,0.87
ACCOUNT_00051,PERSON_1031,savings,SynthBank_Alpha,2023-08-21 07:40:37,LOCATION_0090,0.76
ACCOUNT_00052,PERSON_0398,current,SynthBank_Gamma,2023-02-09 14:14:54,LOCATION_0136,0.95
ACCOUNT_00053,PERSON_0167,current,SynthBank_Gamma,2023-10-27 23:22:28,LOCATION_0261,0.83
ACCOUNT_00054,PERSON_0032,current,SynthBank_Gamma,2024-05-18 16:04:09,LOCATION_0073,0.8
ACCOUNT_00055,PERSON_1063,savings,SynthBank_Gamma,2022-09-30 22:12:54,LOCATION_0199,0.83
ACCOUNT_00056,PERSON_1092,current,SynthBank_Beta,2022-05-24 10:31:42,LOCATION_0081,0.76
ACCOUNT_00057,PERSON_0752,savings,SynthBank_Alpha,2022-02-16 01:55:25,LOCATION_0137,0.84
ACCOUNT_00058,PERSON_0553,current,SynthBank_Alpha,2023-03-16 04:58:35,LOCATION_0285,0.81
ACCOUNT_00059,PERSON_1044,current,SynthBank_Delta,2025-10-29 11:41:23,LOCATION_0019,0.92
ACCOUNT_00060,PERSON_1248,current,SynthBank_Delta,2023-05-09 11:25:59,LOCATION_0279,0.88
ACCOUNT_00061,PERSON_1002,current,SynthBank_Beta,2022-05-22 10:59:11,LOCATION_0083,0.9
ACCOUNT_00062,PERSON_0766,current,SynthBank_Omega,2024-10-27 17:50:33,LOCATION_0032,0.91
ACCOUNT_00063,PERSON_1336,current,SynthBank_Delta,2025-03-11 08:32:33,LOCATION_0229,0.77
ACCOUNT_00064,PERSON_0554,current,SynthBank_Alpha,2022-04-26 00:27:19,LOCATION_0106,0.77
ACCOUNT_00065,PERSON_0788,current,SynthBank_Delta,2022-06-14 01:28:25,LOCATION_0084,0.81
ACCOUNT_00066,PERSON_0660,current,SynthBank_Omega,2022-03-04 19:24:54,LOCATION_0168,0.77
ACCOUNT_00067,PERSON_0705,current,SynthBank_Delta,2022-08-02 07:53:03,LOCATION_0012,0.84
ACCOUNT_00068,PERSON_0785,savings,SynthBank_Omega,2022-10-13 00:14:07,LOCATION_0020,0.92
ACCOUNT_00069,PERSON_0831,current,SynthBank_Delta,2022-05-14 20:04:55,LOCATION_0260,0.81
ACCOUNT_00070,PERSON_0698,savings,SynthBank_Delta,2025-10-26 02:24:55,LOCATION_0124,0.85
ACCOUNT_00071,PERSON_1115,current,SynthBank_Gamma,2022-06-19 00:41:01,LOCATION_0251,0.91
ACCOUNT_00072,PERSON_1433,current,SynthBank_Alpha,2025-01-28 10:02:52,LOCATION_0228,0.86
ACCOUNT_00073,PERSON_0937,current,SynthBank_Delta,2025-01-05 06:52:56,LOCATION_0072,0.95
ACCOUNT_00074,PERSON_0198,current,SynthBank_Alpha,2022-05-08 21:20:53,LOCATION_0256,0.89
ACCOUNT_00075,PERSON_1035,savings,SynthBank_Delta,2024-12-24 05:48:41,LOCATION_0156,0.91
ACCOUNT_00076,PERSON_0809,savings,SynthBank_Delta,2025-06-11 08:58:14,LOCATION_0209,0.88
ACCOUNT_00077,PERSON_1285,savings,SynthBank_Gamma,2023-06-21 04:37:45,LOCATION_0093,0.79
ACCOUNT_00078,PERSON_0219,savings,SynthBank_Alpha,2024-08-03 08:49:16,LOCATION_0068,0.88
ACCOUNT_00079,PERSON_0994,current,SynthBank_Beta,2023-07-27 17:06:49,LOCATION_0080,0.78
ACCOUNT_00080,PERSON_0298,savings,SynthBank_Delta,2024-05-01 09:25:42,LOCATION_0146,0.79
ACCOUNT_00081,PERSON_0993,current,SynthBank_Beta,2024-02-29 06:54:51,LOCATION_0029,0.9
ACCOUNT_00082,PERSON_0580,savings,SynthBank_Omega,2022-10-05 00:13:56,LOCATION_0124,0.85
ACCOUNT_00083,PERSON_0311,current,SynthBank_Gamma,2023-03-10 22:47:58,LOCATION_0038,0.98
ACCOUNT_00084,PERSON_1476,current,SynthBank_Gamma,2022-12-09 12:34:14,LOCATION_0228,0.82
ACCOUNT_00085,PERSON_0547,current,SynthBank_Gamma,2026-02-01 12:16:32,LOCATION_0204,0.98
ACCOUNT_00086,PERSON_0971,current,SynthBank_Gamma,2023-07-22 09:50:38,LOCATION_0215,0.96
ACCOUNT_00087,PERSON_0467,current,SynthBank_Delta,2026-02-14 16:42:34,LOCATION_0221,0.92
ACCOUNT_00088,PERSON_0423,current,SynthBank_Alpha,2025-06-29 07:09:13,LOCATION_0173,0.77
ACCOUNT_00089,PERSON_1343,current,SynthBank_Beta,2025-04-20 06:50:15,LOCATION_0209,0.91
ACCOUNT_00090,PERSON_0046,current,SynthBank_Beta,2023-10-28 19:49:25,LOCATION_0184,0.9
ACCOUNT_00091,PERSON_0720,savings,SynthBank_Omega,2022-06-27 10:26:00,LOCATION_0034,0.8
ACCOUNT_00092,PERSON_0096,current,SynthBank_Alpha,2024-01-17 03:35:44,LOCATION_0194,0.84
ACCOUNT_00093,PERSON_0517,savings,SynthBank_Beta,2023-07-17 17:40:12,LOCATION_0025,0.92
ACCOUNT_00094,PERSON_0065,current,SynthBank_Gamma,2022-05-13 22:00:34,LOCATION_0069,0.9
ACCOUNT_00095,PERSON_0909,current,SynthBank_Beta,2025-08-14 16:35:02,LOCATION_0144,0.87
ACCOUNT_00096,PERSON_0676,savings,SynthBank_Alpha,2023-02-18 08:52:02,LOCATION_0129,0.81
ACCOUNT_00097,PERSON_0666,savings,SynthBank_Delta,2024-11-20 12:25:14,LOCATION_0267,0.76
ACCOUNT_00098,PERSON_0851,current,SynthBank_Gamma,2025-02-09 05:16:58,LOCATION_0251,0.78
ACCOUNT_00099,PERSON_1066,savings,SynthBank_Delta,2025-12-19 12:51:53,LOCATION_0138,0.8
ACCOUNT_00100,PERSON_0057,savings,SynthBank_Beta,2022-08-03 04:31:51,LOCATION_0142,0.76
ACCOUNT_00101,PERSON_0171,savings,SynthBank_Beta,2026-04-12 04:50:45,LOCATION_0060,0.87
ACCOUNT_00102,PERSON_0067,current,SynthBank_Beta,2025-11-16 13:57:27,LOCATION_0151,0.94
ACCOUNT_00103,PERSON_1438,savings,SynthBank_Delta,2026-04-15 07:25:09,LOCATION_0185,0.88
ACCOUNT_00104,PERSON_0950,savings,SynthBank_Alpha,2025-05-11 23:32:52,LOCATION_0219,0.85
ACCOUNT_00105,PERSON_0618,savings,SynthBank_Omega,2024-05-18 05:13:33,LOCATION_0147,0.94
ACCOUNT_00106,PERSON_0319,savings,SynthBank_Omega,2022-07-05 01:55:12,LOCATION_0185,0.9
ACCOUNT_00107,PERSON_0736,current,SynthBank_Delta,2023-01-26 01:36:08,LOCATION_0258,0.93
ACCOUNT_00108,PERSON_1232,current,SynthBank_Alpha,2022-09-23 03:36:55,LOCATION_0163,0.99
ACCOUNT_00109,PERSON_1104,current,SynthBank_Omega,2022-10-26 13:24:20,LOCATION_0230,0.79
ACCOUNT_00110,PERSON_0591,current,SynthBank_Beta,2026-02-11 05:02:53,LOCATION_0228,0.81
ACCOUNT_00111,PERSON_0332,savings,SynthBank_Alpha,2025-06-26 02:27:25,LOCATION_0120,0.98
ACCOUNT_00112,PERSON_1349,savings,SynthBank_Delta,2026-04-11 02:53:08,LOCATION_0175,0.98
ACCOUNT_00113,PERSON_0959,savings,SynthBank_Alpha,2022-11-16 09:20:44,LOCATION_0121,0.96
ACCOUNT_00114,PERSON_0026,current,SynthBank_Gamma,2024-01-05 20:30:31,LOCATION_0275,0.81
ACCOUNT_00115,PERSON_0758,savings,SynthBank_Delta,2025-02-09 08:06:23,LOCATION_0115,0.8
ACCOUNT_00116,PERSON_0256,current,SynthBank_Delta,2024-07-29 15:45:19,LOCATION_0239,0.88
ACCOUNT_00117,PERSON_0104,savings,SynthBank_Beta,2022-03-07 15:36:01,LOCATION_0023,0.87
ACCOUNT_00118,PERSON_0874,current,SynthBank_Omega,2022-08-02 15:27:26,LOCATION_0178,0.76
ACCOUNT_00119,PERSON_1056,current,SynthBank_Alpha,2022-10-02 14:25:27,LOCATION_0048,0.84
ACCOUNT_00120,PERSON_0029,savings,SynthBank_Beta,2025-05-12 15:33:23,LOCATION_0088,0.8
ACCOUNT_00121,PERSON_0974,current,SynthBank_Alpha,2026-04-23 15:56:50,LOCATION_0176,0.91
ACCOUNT_00122,PERSON_1282,current,SynthBank_Omega,2024-12-16 11:53:53,LOCATION_0289,0.78
ACCOUNT_00123,PERSON_0370,current,SynthBank_Delta,2024-08-26 05:43:35,LOCATION_0277,0.86
ACCOUNT_00124,PERSON_1428,savings,SynthBank_Delta,2025-03-26 10:19:37,LOCATION_0031,0.84
ACCOUNT_00125,PERSON_0037,savings,SynthBank_Delta,2022-10-03 05:21:25,LOCATION_0157,0.95
ACCOUNT_00126,PERSON_1461,current,SynthBank_Alpha,2022-06-13 18:54:36,LOCATION_0262,0.86
ACCOUNT_00127,PERSON_0606,savings,SynthBank_Gamma,2025-03-11 01:47:02,LOCATION_0188,0.86
ACCOUNT_00128,PERSON_1060,savings,SynthBank_Delta,2023-04-27 14:26:42,LOCATION_0068,0.93
ACCOUNT_00129,PERSON_0726,savings,SynthBank_Alpha,2025-11-10 03:00:07,LOCATION_0267,0.77
ACCOUNT_00130,PERSON_0211,savings,SynthBank_Omega,2025-07-29 04:42:38,LOCATION_0093,0.79
ACCOUNT_00131,PERSON_0376,current,SynthBank_Omega,2024-06-17 03:44:37,LOCATION_0036,0.9
ACCOUNT_00132,PERSON_1449,current,SynthBank_Alpha,2025-11-25 13:47:23,LOCATION_0169,0.91
ACCOUNT_00133,PERSON_0050,savings,SynthBank_Delta,2023-07-25 04:52:18,LOCATION_0110,0.96
ACCOUNT_00134,PERSON_1188,current,SynthBank_Beta,2025-02-09 14:52:41,LOCATION_0101,0.98
ACCOUNT_00135,PERSON_0463,current,SynthBank_Gamma,2026-03-08 02:03:44,LOCATION_0050,0.87
ACCOUNT_00136,PERSON_0194,current,SynthBank_Alpha,2022-08-27 21:13:33,LOCATION_0053,0.88
ACCOUNT_00137,PERSON_0083,savings,SynthBank_Beta,2025-03-14 15:23:09,LOCATION_0264,0.97
ACCOUNT_00138,PERSON_0803,current,SynthBank_Delta,2022-05-21 04:26:17,LOCATION_0168,0.87
ACCOUNT_00139,PERSON_0807,current,SynthBank_Omega,2022-09-20 07:09:29,LOCATION_0166,0.96
ACCOUNT_00140,PERSON_0696,savings,SynthBank_Beta,2025-02-25 05:05:22,LOCATION_0191,0.77
ACCOUNT_00141,PERSON_0985,savings,SynthBank_Alpha,2023-01-29 09:47:36,LOCATION_0292,0.93
ACCOUNT_00142,PERSON_0321,current,SynthBank_Beta,2023-09-21 09:19:53,LOCATION_0218,0.97
ACCOUNT_00143,PERSON_0397,savings,SynthBank_Omega,2026-02-02 13:21:42,LOCATION_0015,0.93
ACCOUNT_00144,PERSON_1046,current,SynthBank_Delta,2022-12-04 13:30:40,LOCATION_0268,0.86
ACCOUNT_00145,PERSON_0200,savings,SynthBank_Beta,2022-08-13 19:30:24,LOCATION_0161,0.92
ACCOUNT_00146,PERSON_1459,savings,SynthBank_Beta,2023-12-25 12:25:47,LOCATION_0275,0.94
ACCOUNT_00147,PERSON_0721,current,SynthBank_Beta,2024-11-20 05:30:18,LOCATION_0277,0.94
ACCOUNT_00148,PERSON_1405,current,SynthBank_Delta,2025-05-03 23:23:42,LOCATION_0251,0.79
ACCOUNT_00149,PERSON_0970,savings,SynthBank_Gamma,2023-06-18 11:54:50,LOCATION_0103,0.79
ACCOUNT_00150,PERSON_0551,current,SynthBank_Beta,2022-08-21 17:34:44,LOCATION_0041,0.91
ACCOUNT_00151,PERSON_0302,current,SynthBank_Omega,2023-08-17 01:54:42,LOCATION_0165,0.77
ACCOUNT_00152,PERSON_0269,current,SynthBank_Delta,2024-07-04 12:28:43,LOCATION_0178,0.91
ACCOUNT_00153,PERSON_0360,current,SynthBank_Beta,2025-04-18 01:49:51,LOCATION_0180,0.83
ACCOUNT_00154,PERSON_1389,current,SynthBank_Alpha,2026-05-06 12:36:03,LOCATION_0019,0.8
ACCOUNT_00155,PERSON_0180,current,SynthBank_Beta,2025-10-24 20:26:25,LOCATION_0020,0.79
ACCOUNT_00156,PERSON_1412,savings,SynthBank_Beta,2023-04-21 05:32:50,LOCATION_0262,0.84
ACCOUNT_00157,PERSON_1269,savings,SynthBank_Delta,2024-03-18 20:07:41,LOCATION_0166,0.76
ACCOUNT_00158,PERSON_0107,savings,SynthBank_Omega,2023-06-05 22:31:33,LOCATION_0086,0.81
ACCOUNT_00159,PERSON_1286,savings,SynthBank_Gamma,2022-11-16 19:16:41,LOCATION_0203,0.84
ACCOUNT_00160,PERSON_0030,savings,SynthBank_Delta,2023-07-07 05:31:44,LOCATION_0171,0.93
ACCOUNT_00161,PERSON_1464,savings,SynthBank_Omega,2022-03-14 09:22:52,LOCATION_0093,0.9
ACCOUNT_00162,PERSON_0095,current,SynthBank_Beta,2024-02-08 10:43:02,LOCATION_0164,0.87
ACCOUNT_00163,PERSON_0790,current,SynthBank_Beta,2024-08-25 05:15:10,LOCATION_0210,0.91
ACCOUNT_00164,PERSON_1250,savings,SynthBank_Gamma,2023-06-29 09:49:23,LOCATION_0009,0.98
ACCOUNT_00165,PERSON_0500,current,SynthBank_Omega,2023-10-19 19:52:46,LOCATION_0096,0.81
ACCOUNT_00166,PERSON_0857,current,SynthBank_Gamma,2022-08-18 18:18:14,LOCATION_0138,0.81
ACCOUNT_00167,PERSON_0854,savings,SynthBank_Gamma,2025-10-26 02:01:06,LOCATION_0004,0.98
ACCOUNT_00168,PERSON_1206,savings,SynthBank_Delta,2024-05-25 13:13:09,LOCATION_0037,0.95
ACCOUNT_00169,PERSON_1337,savings,SynthBank_Delta,2024-01-25 12:11:25,LOCATION_0033,0.82
ACCOUNT_00170,PERSON_0903,current,SynthBank_Gamma,2024-03-15 23:46:15,LOCATION_0035,0.82
ACCOUNT_00171,PERSON_0504,current,SynthBank_Beta,2025-12-08 11:05:10,LOCATION_0033,0.75
ACCOUNT_00172,PERSON_0677,savings,SynthBank_Omega,2025-01-03 22:50:32,LOCATION_0036,0.81
ACCOUNT_00173,PERSON_0727,current,SynthBank_Alpha,2024-08-01 01:16:28,LOCATION_0214,0.91
ACCOUNT_00174,PERSON_1223,savings,SynthBank_Gamma,2023-07-10 03:51:12,LOCATION_0013,0.93
ACCOUNT_00175,PERSON_1469,savings,SynthBank_Delta,2022-04-30 14:15:56,LOCATION_0117,0.77
ACCOUNT_00176,PERSON_1443,current,SynthBank_Omega,2023-11-29 20:55:40,LOCATION_0245,0.78
ACCOUNT_00177,PERSON_0945,savings,SynthBank_Omega,2022-04-04 04:33:32,LOCATION_0022,0.8
ACCOUNT_00178,PERSON_0754,current,SynthBank_Alpha,2023-11-18 06:26:04,LOCATION_0140,0.87
ACCOUNT_00179,PERSON_1221,current,SynthBank_Delta,2022-07-26 22:42:31,LOCATION_0013,0.78
ACCOUNT_00180,PERSON_0187,current,SynthBank_Alpha,2022-06-19 22:41:02,LOCATION_0173,0.84
ACCOUNT_00181,PERSON_0548,savings,SynthBank_Delta,2022-06-12 23:04:29,LOCATION_0241,0.83
ACCOUNT_00182,PERSON_0472,current,SynthBank_Gamma,2025-06-07 10:44:29,LOCATION_0137,0.87
ACCOUNT_00183,PERSON_1150,current,SynthBank_Beta,2023-03-15 15:55:39,LOCATION_0089,0.8
ACCOUNT_00184,PERSON_0393,savings,SynthBank_Alpha,2026-05-18 07:32:10,LOCATION_0212,0.79
ACCOUNT_00185,PERSON_1159,current,SynthBank_Delta,2025-05-23 14:15:14,LOCATION_0090,0.98
ACCOUNT_00186,PERSON_1022,savings,SynthBank_Beta,2023-08-01 15:51:24,LOCATION_0031,0.91
ACCOUNT_00187,PERSON_1133,current,SynthBank_Gamma,2023-10-31 06:45:51,LOCATION_0201,0.94
ACCOUNT_00188,PERSON_0417,current,SynthBank_Beta,2023-08-23 10:14:53,LOCATION_0039,0.91
ACCOUNT_00189,PERSON_0718,savings,SynthBank_Gamma,2023-11-03 12:41:12,LOCATION_0116,0.8
ACCOUNT_00190,PERSON_0979,current,SynthBank_Delta,2024-04-20 07:22:35,LOCATION_0131,0.8
ACCOUNT_00191,PERSON_0836,current,SynthBank_Delta,2026-01-11 02:38:23,LOCATION_0264,0.88
ACCOUNT_00192,PERSON_0805,current,SynthBank_Gamma,2026-02-08 10:11:20,LOCATION_0293,0.85
ACCOUNT_00193,PERSON_0072,savings,SynthBank_Alpha,2023-11-28 01:15:59,LOCATION_0002,0.95
ACCOUNT_00194,PERSON_0699,savings,SynthBank_Beta,2024-05-29 11:36:56,LOCATION_0005,0.79
ACCOUNT_00195,PERSON_0044,savings,SynthBank_Gamma,2025-08-28 22:39:28,LOCATION_0045,0.88
ACCOUNT_00196,PERSON_1124,savings,SynthBank_Omega,2022-07-07 06:33:21,LOCATION_0029,0.84
ACCOUNT_00197,PERSON_0926,savings,SynthBank_Delta,2025-12-03 17:35:00,LOCATION_0259,0.86
ACCOUNT_00198,PERSON_1072,savings,SynthBank_Alpha,2024-02-29 04:34:42,LOCATION_0143,0.85
ACCOUNT_00199,PERSON_1406,current,SynthBank_Beta,2024-04-14 13:40:31,LOCATION_0084,0.82
ACCOUNT_00200,PERSON_0644,savings,SynthBank_Beta,2022-05-16 04:12:34,LOCATION_0274,0.78
ACCOUNT_00201,PERSON_0279,current,SynthBank_Gamma,2025-01-16 16:50:31,LOCATION_0052,0.99
ACCOUNT_00202,PERSON_0309,current,SynthBank_Beta,2024-06-02 07:58:33,LOCATION_0103,0.91
ACCOUNT_00203,PERSON_1264,savings,SynthBank_Omega,2023-06-29 11:12:28,LOCATION_0011,0.78
ACCOUNT_00204,PERSON_0064,savings,SynthBank_Beta,2025-07-11 15:11:03,LOCATION_0063,0.83
ACCOUNT_00205,PERSON_0607,savings,SynthBank_Gamma,2024-07-31 17:09:31,LOCATION_0240,0.81
ACCOUNT_00206,PERSON_0596,current,SynthBank_Gamma,2022-02-20 17:22:32,LOCATION_0061,0.8
ACCOUNT_00207,PERSON_0112,savings,SynthBank_Omega,2023-07-25 08:18:07,LOCATION_0167,0.78
ACCOUNT_00208,PERSON_0709,current,SynthBank_Gamma,2022-07-19 20:55:47,LOCATION_0185,0.92
ACCOUNT_00209,PERSON_1051,savings,SynthBank_Beta,2022-08-20 15:16:51,LOCATION_0226,0.95
ACCOUNT_00210,PERSON_1316,savings,SynthBank_Beta,2023-09-18 13:34:25,LOCATION_0133,0.75
ACCOUNT_00211,PERSON_0242,savings,SynthBank_Alpha,2023-12-07 04:22:03,LOCATION_0271,0.76
ACCOUNT_00212,PERSON_0331,current,SynthBank_Delta,2022-07-31 21:49:07,LOCATION_0013,0.96
ACCOUNT_00213,PERSON_0694,savings,SynthBank_Gamma,2023-02-22 23:05:49,LOCATION_0293,0.76
ACCOUNT_00214,PERSON_0826,savings,SynthBank_Omega,2024-12-26 13:38:06,LOCATION_0283,0.95
ACCOUNT_00215,PERSON_0873,savings,SynthBank_Delta,2025-04-30 21:52:03,LOCATION_0222,0.78
ACCOUNT_00216,PERSON_1207,current,SynthBank_Alpha,2022-09-19 05:16:57,LOCATION_0177,0.98
ACCOUNT_00217,PERSON_1052,current,SynthBank_Delta,2022-03-13 19:14:35,LOCATION_0253,0.78
ACCOUNT_00218,PERSON_0201,current,SynthBank_Delta,2023-10-13 22:33:43,LOCATION_0018,0.77
ACCOUNT_00219,PERSON_0061,current,SynthBank_Delta,2024-04-16 13:29:59,LOCATION_0230,0.99
ACCOUNT_00220,PERSON_0587,savings,SynthBank_Delta,2022-04-02 05:19:12,LOCATION_0246,0.76
ACCOUNT_00221,PERSON_0598,savings,SynthBank_Alpha,2022-12-02 10:34:33,LOCATION_0223,0.91
ACCOUNT_00222,PERSON_0716,savings,SynthBank_Gamma,2024-02-19 11:30:26,LOCATION_0166,0.89
ACCOUNT_00223,PERSON_1390,current,SynthBank_Delta,2026-04-05 04:19:18,LOCATION_0221,0.91
ACCOUNT_00224,PERSON_1183,savings,SynthBank_Delta,2022-06-26 11:57:43,LOCATION_0268,0.89
ACCOUNT_00225,PERSON_0102,current,SynthBank_Beta,2023-02-25 09:10:32,LOCATION_0075,0.9
ACCOUNT_00226,PERSON_0879,current,SynthBank_Alpha,2022-06-17 20:39:55,LOCATION_0007,0.76
ACCOUNT_00227,PERSON_1356,savings,SynthBank_Omega,2022-06-12 13:49:01,LOCATION_0236,0.88
ACCOUNT_00228,PERSON_0416,current,SynthBank_Alpha,2023-08-29 22:14:50,LOCATION_0207,0.9
ACCOUNT_00229,PERSON_0326,savings,SynthBank_Alpha,2026-02-02 20:36:08,LOCATION_0093,0.95
ACCOUNT_00230,PERSON_0119,current,SynthBank_Alpha,2022-06-19 01:55:46,LOCATION_0109,0.8
ACCOUNT_00231,PERSON_1064,current,SynthBank_Beta,2024-10-26 07:32:18,LOCATION_0298,0.83
ACCOUNT_00232,PERSON_0852,savings,SynthBank_Gamma,2025-04-05 14:54:28,LOCATION_0207,0.95
ACCOUNT_00233,PERSON_1432,current,SynthBank_Alpha,2025-12-09 00:07:51,LOCATION_0054,0.76
ACCOUNT_00234,PERSON_0059,current,SynthBank_Omega,2023-09-25 16:08:43,LOCATION_0224,0.8
ACCOUNT_00235,PERSON_1077,current,SynthBank_Gamma,2023-01-29 14:19:00,LOCATION_0292,0.84
ACCOUNT_00236,PERSON_0128,current,SynthBank_Delta,2024-02-21 18:43:24,LOCATION_0026,0.77
ACCOUNT_00237,PERSON_0352,current,SynthBank_Omega,2022-03-30 05:03:12,LOCATION_0182,0.93
ACCOUNT_00238,PERSON_0649,current,SynthBank_Alpha,2025-06-04 09:19:53,LOCATION_0234,0.85
ACCOUNT_00239,PERSON_0118,current,SynthBank_Omega,2023-05-11 14:58:39,LOCATION_0071,0.84
ACCOUNT_00240,PERSON_0588,current,SynthBank_Alpha,2024-11-13 19:53:52,LOCATION_0022,0.79
