person_id,name,name_variant,age,gender,city,occupation,address_id,primary_phone_id,risk_indicator,source_record_count
PERSON_0026,Vivek Joshi,Vivek Joshi,44,M,Ahmedabad,driver,LOCATION_0065,PHONE_00026,flagged,0
PERSON_0027,Vivek Mishra,Vivek Mishra,24,F,Bhopal,driver,LOCATION_0229,PHONE_00027,none,0
PERSON_0028,Yash Rathore,Yash Rathore,33,M,Delhi,mechanic,LOCATION_0101,PHONE_00028,none,1
PERSON_0029,Gaurav Saxena,Gaurav Saxena,35,M,Indore,mechanic,LOCATION_0118,PHONE_00029,flagged,0
PERSON_0030,Pooja Chauhan,Pooja Chauhan,44,F,Delhi,delivery worker,LOCATION_0041,PHONE_00030,flagged,1
PERSON_0031,Ashok Choudhary,Ashok Choudhary,48,M,Mumbai,trader,LOCATION_0116,PHONE_00031,none,0
PERSON_0032,Alka Sharma,A. Sharma,40,F,Lucknow,delivery worker,LOCATION_0003,PHONE_00032,flagged,0
PERSON_0033,Meena Naidu,meena naidu,27,F,Mumbai,private employee,LOCATION_0296,PHONE_00033,none,1
PERSON_0034,Swati Joshi,Swati J.,20,F,Hyderabad,private employee,LOCATION_0200,PHONE_00034,none,1
PERSON_0035,Geeta Bhatt,geeta bhatt,30,F,Bhopal,electrician,LOCATION_0289,PHONE_00035,none,0
PERSON_0036,Mohit Naidu,M. Naidu,44,M,Hyderabad,electrician,LOCATION_0190,PHONE_00036,none,1
PERSON_0037,Suresh Reddy,SURESH REDDY,47,M,Pune,salesperson,LOCATION_0137,PHONE_00037,flagged,0
PERSON_0038,Anita Malhotra,Anita Malhotra,32,F,Jaipur,clerk,LOCATION_0122,PHONE_00038,none,0
PERSON_0039,Gaurav Saxena,Gaurav Saxena,63,M,Pune,self-employed,LOCATION_0167,PHONE_00039,none,1
PERSON_0040,Vivek Kulkarni,VIVEK KULKARNI,50,M,Chandigarh,private employee,LOCATION_0174,PHONE_00040,none,1
PERSON_0041,Meena Joshi,M. Joshi,20,F,Jaipur,shopkeeper,LOCATION_0172,PHONE_00041,none,1
PERSON_0042,Suresh Mishra,S. Mishra,33,M,Jaipur,driver,LOCATION_0002,PHONE_00042,none,0
PERSON_0043,Vivek Rathore,vivek rathore,46,M,Indore,farmer,LOCATION_0278,PHONE_00043,none,0
PERSON_0044,Nikhil Nair,Nikhil Nair,55,M,Ahmedabad,electrician,LOCATION_0095,PHONE_00044,none,0
PERSON_0045,Sunita Bansal,Sunita Bansal,36,F,Pune,driver,LOCATION_0277,PHONE_00045,none,1
PERSON_0046,Isha Singh,Isha Singh,34,F,Chandigarh,accountant,LOCATION_0044,PHONE_00046,flagged,0
PERSON_0047,Ashok Naidu,Ashok Naidu,52,M,Jaipur,shopkeeper,LOCATION_0112,PHONE_00047,none,0
PERSON_0048,Anjali Verma,A. Verma,62,F,Hyderabad,electrician,LOCATION_0120,PHONE_00048,flagged,0
PERSON_0049,Isha Bhatt,Isha Bhatt,41,F,Ahmedabad,shopkeeper,LOCATION_0285,PHONE_00049,none,1
PERSON_0050,Simran Malhotra,SIMRAN MALHOTRA,47,F,Hyderabad,student,LOCATION_0240,PHONE_00050,none,0
PERSON_0051,Rekha Malhotra,R. Malhotra,33,F,Bhopal,self-employed,LOCATION_0219,PHONE_00051,none,1
PERSON_0052,Pooja Gupta,Pooja Gupta,58,F,Mumbai,student,LOCATION_0106,PHONE_00052,none,0
PERSON_0053,Kirti Reddy,Kirti Reddy,32,F,Hyderabad,clerk,LOCATION_0100,PHONE_00053,none,1
PERSON_0054,Sunita Pandey,Sunita Pandey,60,F,Mumbai,accountant,LOCATION_0136,PHONE_00054,none,1
PERSON_0055,Isha Meena,Isha Meena,25,F,Jaipur,driver,LOCATION_0212,PHONE_00055,none,0
PERSON_0056,Kirti Yadav,Kirti Y.,32,F,Jaipur,student,LOCATION_0032,PHONE_00056,none,1
PERSON_0057,Aman Mishra,A. Mishra,48,M,Jaipur,unemployed,LOCATION_0172,PHONE_00057,flagged,0
PERSON_0058,Yash Kapoor,Y. Kapoor,52,M,Bhopal,salesperson,LOCATION_0079,PHONE_00058,none,1
PERSON_0059,Isha Joshi,Isha Joshi,20,F,Chandigarh,mechanic,LOCATION_0274,PHONE_00059,none,0
PERSON_0060,Anil Chauhan,anil chauhan,37,M,Lucknow,delivery worker,LOCATION_0103,PHONE_00060,none,1
PERSON_0061,Gaurav Gupta,Gaurav Gupta,43,M,Hyderabad,trader,LOCATION_0160,PHONE_00061,none,0
PERSON_0062,Meena Kapoor,Meena K.,21,F,Indore,driver,LOCATION_0158,PHONE_00062,none,0
PERSON_0063,Kavita Naidu,Kavita Naidu,62,F,Delhi,unemployed,LOCATION_0061,PHONE_00063,none,1
PERSON_0064,Shalini Meena,Shalini Meena,42,F,Lucknow,mechanic,LOCATION_0123,PHONE_00064,none,0
PERSON_0065,Priya Singh,Priya Singh,26,F,Bhopal,driver,LOCATION_0289,PHONE_00065,flagged,0
PERSON_0066,Sunita Tiwari,sunita tiwari,40,F,Indore,farmer,LOCATION_0138,PHONE_00066,none,1
PERSON_0067,Deepika Iyer,Deepika Iyer,20,F,Delhi,farmer,LOCATION_0011,PHONE_00067,flagged,0
PERSON_0068,Aman Yadav,Aman Yadav,21,M,Bhopal,unemployed,LOCATION_0259,PHONE_00068,none,1
PERSON_0069,Manju Meena,ManjuMeena,36,F,Delhi,salesperson,LOCATION_0031,PHONE_00069,none,0
PERSON_0070,Harish Sharma,Harish Sharma,65,M,Delhi,electrician,LOCATION_0191,PHONE_00070,none,0
PERSON_0071,Sanjay Singh,Sanjay Singh,32,M,Ahmedabad,trader,LOCATION_0195,PHONE_00071,none,1
PERSON_0072,Manoj Iyer,ManojIyer,24,M,Jaipur,accountant,LOCATION_0262,PHONE_00072,none,0
PERSON_0073,Kirti Rathore,Kirti Rathore,56,F,Ahmedabad,delivery worker,LOCATION_0185,PHONE_00073,none,0
PERSON_0074,Anita Reddy,A. Reddy,21,F,Jaipur,clerk,LOCATION_0112,PHONE_00074,none,1
PERSON_0075,Sunita Gupta,S. Gupta,53,F,Lucknow,delivery worker,LOCATION_0123,PHONE_00075,none,1
PERSON_0076,Sanjay Mishra,Sanjay Mishra,25,M,Ahmedabad,farmer,LOCATION_0005,PHONE_00076,none,1
PERSON_0077,Nikhil Saxena,Nikhil Saxena,34,M,Lucknow,electrician,LOCATION_0023,PHONE_00077,none,0
PERSON_0078,Naveen Bansal,naveen bansal,54,M,Indore,self-employed,LOCATION_0198,PHONE_00078,none,1
PERSON_0079,Isha Reddy,Isha Reddy,36,F,Indore,farmer,LOCATION_0248,PHONE_00079,none,1
PERSON_0080,Rajesh Chauhan,Rajesh Chauhan,52,F,Indore,delivery worker,LOCATION_0138,PHONE_00080,none,0
PERSON_0081,Neha Iyer,Neha Iyer,35,F,Ahmedabad,farmer,LOCATION_0265,PHONE_00081,none,1
PERSON_0082,Pankaj Saxena,Pankaj Saxena,58,M,Jaipur,unemployed,LOCATION_0242,PHONE_00082,none,1
PERSON_0083,Deepak Sharma,Deepak S.,44,M,Chandigarh,clerk,LOCATION_0084,PHONE_00083,none,0
PERSON_0084,Sunita Yadav,SUNITA YADAV,29,F,Delhi,shopkeeper,LOCATION_0241,PHONE_00084,none,1
PERSON_0085,Rekha Bhatt,Rekha Bhatt,61,F,Ahmedabad,self-employed,LOCATION_0265,PHONE_00085,none,1
PERSON_0086,Anita Meena,Anita Meena,62,F,Chandigarh,trader,LOCATION_0274,PHONE_00086,none,1
PERSON_0087,Sunita Kulkarni,Sunita Kulkarni,27,F,Hyderabad,trader,LOCATION_0300,PHONE_00087,none,0
PERSON_0088,Kavita Bansal,Kavita B.,35,F,Indore,accountant,LOCATION_0078,PHONE_00088,none,0
PERSON_0089,Sonia Verma,S. Verma,63,F,Hyderabad,salesperson,LOCATION_0010,PHONE_00089,none,0
PERSON_0090,Rajesh Reddy,Rajesh Reddy,29,M,Chandigarh,private employee,LOCATION_0144,PHONE_00090,none,0
PERSON_0091,Manju Bhatt,Manju Bhatt,31,F,Ahmedabad,mechanic,LOCATION_0235,PHONE_00091,none,0
PERSON_0092,Anjali Rathore,A. Rathore,31,F,Chandigarh,electrician,LOCATION_0044,PHONE_00092,none,0
PERSON_0093,Pankaj Mishra,PANKAJ MISHRA,26,M,Delhi,unemployed,LOCATION_0281,PHONE_00093,none,0
PERSON_0094,Sunita Gupta,S. Gupta,55,F,Pune,salesperson,LOCATION_0227,PHONE_00094,none,1
PERSON_0095,Pooja Bansal,Pooja Bansal,50,F,Chandigarh,student,LOCATION_0284,PHONE_00095,flagged,0
PERSON_0096,Shalini Sharma,Shalini Sharma,40,F,Chandigarh,electrician,LOCATION_0004,PHONE_00096,flagged,0
PERSON_0097,Alka Bhatt,AlkaBhatt,29,F,Chandigarh,salesperson,LOCATION_0034,PHONE_00097,none,1
PERSON_0098,Kirti Sharma,Kirti Sharma,42,F,Ahmedabad,salesperson,LOCATION_0005,PHONE_00098,none,0
PERSON_0099,Ravi Sharma,Ravi Sharma,46,M,Lucknow,farmer,LOCATION_0103,PHONE_00099,none,0
PERSON_0100,Isha Rathore,IshaRathore,39,F,Delhi,delivery worker,LOCATION_0281,PHONE_00100,none,1
PERSON_0101,Aman Reddy,Aman Reddy,23,M,Ahmedabad,clerk,LOCATION_0295,PHONE_00101,none,1
PERSON_0102,Anjali Pandey,Anjali P.,57,F,Ahmedabad,farmer,LOCATION_0255,PHONE_00102,none,1
PERSON_0103,Aman Singh,A. Singh,47,M,Jaipur,driver,LOCATION_0202,PHONE_00103,none,1
PERSON_0104,Anil Gupta,Anil Gupta,29,M,Lucknow,mechanic,LOCATION_0023,PHONE_00104,flagged,0
PERSON_0105,Karan Nair,Karan Nair,54,M,Delhi,shopkeeper,LOCATION_0151,PHONE_00105,flagged,0
PERSON_0106,Rekha Nair,Rekha Nair,64,F,Hyderabad,student,LOCATION_0230,PHONE_00106,none,1
PERSON_0107,Amit Iyer,Amit Iyer,49,M,Mumbai,electrician,LOCATION_0236,PHONE_00107,flagged,0
PERSON_0108,Sunita Saxena,SUNITA SAXENA,54,F,Mumbai,clerk,LOCATION_0096,PHONE_00108,none,1
PERSON_0109,Ravi Verma,Ravi Verma,39,M,Mumbai,unemployed,LOCATION_0226,PHONE_00109,none,0
PERSON_0110,Rekha Meena,Rekha Meena,38,F,Indore,accountant,LOCATION_0258,PHONE_00110,none,0
PERSON_0111,Deepika Gupta,D. Gupta,31,F,Hyderabad,electrician,LOCATION_0190,PHONE_00111,none,1
PERSON_0112,Amit Agarwal,A. Agarwal,60,M,Pune,accountant,LOCATION_0227,PHONE_00112,none,1
PERSON_0113,Isha Tiwari,Isha Tiwari,28,F,Hyderabad,shopkeeper,LOCATION_0190,PHONE_00113,none,0
PERSON_0114,Suresh Iyer,SURESH IYER,22,M,Delhi,mechanic,LOCATION_0091,PHONE_00114,none,1
PERSON_0115,Gaurav Pandey,GAURAV PANDEY,41,M,Mumbai,clerk,LOCATION_0266,PHONE_00115,none,1
PERSON_0116,Rohit Chauhan,Rohit C.,44,M,Lucknow,driver,LOCATION_0023,PHONE_00116,none,1
PERSON_0117,Mohit Kulkarni,Mohit K.,21,M,Jaipur,driver,LOCATION_0192,PHONE_00117,none,1
PERSON_0118,Shalini Joshi,Shalini Joshi,35,F,Delhi,delivery worker,LOCATION_0101,PHONE_00118,none,0
PERSON_0119,Nikhil Gupta,Nikhil Gupta,56,F,Bhopal,electrician,LOCATION_0009,PHONE_00119,none,0
PERSON_0120,Sonia Choudhary,Sonia Choudhary,24,F,Bhopal,salesperson,LOCATION_0089,PHONE_00120,none,0
PERSON_0121,Pooja Bhatt,P. Bhatt,36,F,Pune,student,LOCATION_0047,PHONE_00121,none,1
PERSON_0122,Rahul Gupta,RahulGupta,45,M,Chandigarh,private employee,LOCATION_0064,PHONE_00122,none,1
PERSON_0123,Neha Naidu,neha naidu,31,F,Jaipur,student,LOCATION_0032,PHONE_00123,none,0
PERSON_0124,Ritu Bansal,ritu bansal,48,F,Bhopal,trader,LOCATION_0029,PHONE_00124,none,0
PERSON_0125,Pooja Mishra,Pooja Mishra,34,F,Chandigarh,driver,LOCATION_0284,PHONE_00125,none,0
PERSON_0126,Kavita Agarwal,Kavita Agarwal,54,F,Lucknow,driver,LOCATION_0123,PHONE_00126,none,0
PERSON_0127,Manoj Bansal,manoj bansal,40,M,Mumbai,delivery worker,LOCATION_0096,PHONE_00127,none,0
PERSON_0128,Rajesh Reddy,Rajesh Reddy,55,M,Mumbai,salesperson,LOCATION_0226,PHONE_00128,none,1
PERSON_0129,Vikram Pandey,Vikram Pandey,54,M,Pune,private employee,LOCATION_0037,PHONE_00129,none,0
PERSON_0130,Aman Naidu,AMAN NAIDU,33,M,Mumbai,private employee,LOCATION_0236,PHONE_00130,none,0
PERSON_0131,Rekha Singh,REKHA SINGH,63,F,Ahmedabad,trader,LOCATION_0185,PHONE_00131,none,1
PERSON_0132,Deepak Iyer,D. Iyer,39,M,Chandigarh,private employee,LOCATION_0014,PHONE_00132,none,0
PERSON_0133,Simran Singh,Simran Singh,23,F,Pune,salesperson,LOCATION_0257,PHONE_00133,none,1
PERSON_0134,Isha Tiwari,Isha Tiwari,41,F,Mumbai,delivery worker,LOCATION_0016,PHONE_00134,none,1
PERSON_0135,Sanjay Singh,Sanjay Singh,61,F,Pune,driver,LOCATION_0217,PHONE_00135,none,1
PERSON_0136,Gaurav Agarwal,Gaurav Agarwal,64,M,Jaipur,unemployed,LOCATION_0202,PHONE_00136,none,0
PERSON_0137,Kirti Choudhary,Kirti Choudhary,34,F,Chandigarh,unemployed,LOCATION_0294,PHONE_00137,none,0
PERSON_0138,Ashok Pandey,A. Pandey,40,M,Delhi,unemployed,LOCATION_0061,PHONE_00138,none,0
PERSON_0139,Vikram Gupta,Vikram Gupta,28,M,Pune,shopkeeper,LOCATION_0017,PHONE_00139,none,0
PERSON_0140,Sanjay Tiwari,Sanjay Tiwari,53,M,Indore,salesperson,LOCATION_0028,PHONE_00140,none,1
PERSON_0141,Shalini Naidu,Shalini N.,23,F,Hyderabad,private employee,LOCATION_0080,PHONE_00141,none,1
PERSON_0142,Meena Agarwal,M. Agarwal,42,F,Chandigarh,private employee,LOCATION_0064,PHONE_00142,none,0
PERSON_0143,Sanjay Agarwal,sanjay agarwal,39,M,Jaipur,delivery worker,LOCATION_0032,PHONE_00143,none,0
PERSON_0144,Meena Pandey,Meena Pandey,40,F,Jaipur,clerk,LOCATION_0092,PHONE_00144,none,1
PERSON_0145,Tanvi Agarwal,Tanvi Agarwal,53,F,Indore,clerk,LOCATION_0008,PHONE_00145,none,0
PERSON_0146,Sanjay Kapoor,Sanjay Kapoor,34,M,Bhopal,trader,LOCATION_0079,PHONE_00146,flagged,0
PERSON_0147,Rajesh Malhotra,Rajesh Malhotra,65,M,Hyderabad,farmer,LOCATION_0040,PHONE_00147,flagged,0
PERSON_0148,Manoj Yadav,Manoj Yadav,59,M,Lucknow,farmer,LOCATION_0143,PHONE_00148,none,1
PERSON_0149,Sonia Gupta,S. Gupta,62,F,Jaipur,driver,LOCATION_0032,PHONE_00149,none,0
PERSON_0150,Naveen Meena,NaveenMeena,35,F,Ahmedabad,student,LOCATION_0015,PHONE_00150,none,0
PERSON_0151,Vivek Iyer,Vivek Iyer,58,M,Mumbai,delivery worker,LOCATION_0236,PHONE_00151,none,1
PERSON_0152,Simran Nair,Simran Nair,24,F,Chandigarh,driver,LOCATION_0274,PHONE_00152,none,0
PERSON_0153,Sanjay Pandey,Sanjay Pandey,52,M,Delhi,shopkeeper,LOCATION_0141,PHONE_00153,none,1
PERSON_0154,Sonia Iyer,Sonia Iyer,47,F,Bhopal,shopkeeper,LOCATION_0049,PHONE_00154,none,1
PERSON_0155,Ritu Meena,R. Meena,51,F,Hyderabad,student,LOCATION_0190,PHONE_00155,none,1
PERSON_0156,Geeta Naidu,Geeta Naidu,56,F,Delhi,electrician,LOCATION_0081,PHONE_00156,none,0
PERSON_0157,Mohit Verma,Mohit V.,51,M,Pune,driver,LOCATION_0107,PHONE_00157,none,0
PERSON_0158,Sandeep Mishra,S. Mishra,37,M,Indore,private employee,LOCATION_0218,PHONE_00158,none,0
PERSON_0159,Kirti Joshi,kirti joshi,49,F,Mumbai,student,LOCATION_0046,PHONE_00159,none,0
PERSON_0160,Harish Saxena,harish saxena,49,M,Lucknow,self-employed,LOCATION_0173,PHONE_00160,none,1
PERSON_0161,Suresh Tiwari,SURESH TIWARI,57,M,Hyderabad,electrician,LOCATION_0060,PHONE_00161,none,0
PERSON_0162,Yash Saxena,YashSaxena,52,M,Pune,delivery worker,LOCATION_0077,PHONE_00162,none,1
PERSON_0163,Geeta Kulkarni,Geeta Kulkarni,55,F,Pune,clerk,LOCATION_0287,PHONE_00163,flagged,0
PERSON_0164,Sonia Sharma,Sonia Sharma,40,F,Mumbai,private employee,LOCATION_0146,PHONE_00164,none,1
PERSON_0165,Ravi Iyer,Ravi Iyer,22,M,Jaipur,private employee,LOCATION_0272,PHONE_00165,none,1
PERSON_0166,Naveen Chauhan,Naveen Chauhan,24,M,Mumbai,student,LOCATION_0276,PHONE_00166,none,0
PERSON_0167,Sanjay Naidu,Sanjay Naidu,34,M,Delhi,clerk,LOCATION_0151,PHONE_00167,flagged,0
PERSON_0168,Amit Reddy,Amit R.,42,M,Chandigarh,driver,LOCATION_0204,PHONE_00168,none,0
PERSON_0169,Nisha Tiwari,Nisha Tiwari,62,F,Pune,student,LOCATION_0017,PHONE_00169,none,0
PERSON_0170,Rekha Sharma,Rekha S.,42,F,Mumbai,electrician,LOCATION_0026,PHONE_00170,none,1
PERSON_0171,Meena Saxena,MeenaSaxena,51,F,Hyderabad,student,LOCATION_0150,PHONE_00171,flagged,0
PERSON_0172,Simran Gupta,simran gupta,45,F,Hyderabad,private employee,LOCATION_0160,PHONE_00172,none,0
PERSON_0173,Ravi Kulkarni,Ravi K.,57,M,Mumbai,accountant,LOCATION_0136,PHONE_00173,none,0
PERSON_0174,Priya Sharma,Priya Sharma,59,F,Pune,unemployed,LOCATION_0077,PHONE_00174,none,1
PERSON_0175,Rajesh Meena,Rajesh Meena,61,M,Mumbai,private employee,LOCATION_0256,PHONE_00175,none,1
PERSON_0176,Isha Agarwal,Isha Agarwal,25,F,Indore,salesperson,LOCATION_0208,PHONE_00176,none,1
PERSON_0177,Rajesh Tiwari,Rajesh Tiwari,56,M,Bhopal,mechanic,LOCATION_0239,PHONE_00177,none,0
PERSON_0178,Nisha Gupta,N. Gupta,42,F,Indore,student,LOCATION_0208,PHONE_00178,none,0
PERSON_0179,Aman Bansal,AmanBansal,29,M,Hyderabad,private employee,LOCATION_0040,PHONE_00179,none,0
PERSON_0180,Pankaj Nair,Pankaj Nair,39,M,Hyderabad,unemployed,LOCATION_0220,PHONE_00180,flagged,0
PERSON_0181,Sanjay Mishra,SANJAY MISHRA,44,M,Hyderabad,mechanic,LOCATION_0050,PHONE_00181,none,1
PERSON_0182,Nisha Verma,Nisha Verma,61,F,Bhopal,student,LOCATION_0219,PHONE_00182,none,1
PERSON_0183,Amit Sharma,Amit Sharma,61,M,Chandigarh,salesperson,LOCATION_0234,PHONE_00183,none,1
PERSON_0184,Suresh Agarwal,S. Agarwal,31,M,Hyderabad,electrician,LOCATION_0140,PHONE_00184,none,1
PERSON_0185,Priya Reddy,Priya Reddy,29,F,Delhi,student,LOCATION_0271,PHONE_00185,none,1
PERSON_0186,Simran Yadav,Simran Y.,58,F,Chandigarh,private employee,LOCATION_0214,PHONE_00186,none,1
PERSON_0187,Anil Rathore,ANIL RATHORE,22,M,Lucknow,accountant,LOCATION_0183,PHONE_00187,none,0
PERSON_0188,Manju Kulkarni,MANJU KULKARNI,43,F,Delhi,driver,LOCATION_0251,PHONE_00188,none,1
PERSON_0189,Arjun Bhatt,Arjun Bhatt,21,M,Hyderabad,clerk,LOCATION_0020,PHONE_00189,none,1
PERSON_0190,Alka Reddy,Alka Reddy,39,F,Lucknow,driver,LOCATION_0033,PHONE_00190,none,0
PERSON_0191,Ravi Rathore,Ravi Rathore,57,M,Hyderabad,salesperson,LOCATION_0100,PHONE_00191,none,0
PERSON_0192,Naveen Agarwal,Naveen Agarwal,35,M,Ahmedabad,electrician,LOCATION_0095,PHONE_00192,none,1
PERSON_0193,Sandeep Malhotra,SandeepMalhotra,46,M,Hyderabad,delivery worker,LOCATION_0200,PHONE_00193,none,0
PERSON_0194,Vikram Rathore,Vikram Rathore,56,M,Lucknow,private employee,LOCATION_0073,PHONE_00194,flagged,0
PERSON_0195,Manoj Pandey,Manoj P.,57,M,Ahmedabad,salesperson,LOCATION_0175,PHONE_00195,none,1
PERSON_0196,Rohit Kapoor,Rohit Kapoor,61,M,Indore,farmer,LOCATION_0248,PHONE_00196,none,0
PERSON_0197,Meena Tiwari,Meena Tiwari,28,F,Indore,student,LOCATION_0288,PHONE_00197,none,1
PERSON_0198,Rahul Saxena,R. Saxena,45,M,Mumbai,salesperson,LOCATION_0016,PHONE_00198,flagged,0
PERSON_0199,Ravi Saxena,RaviSaxena,24,M,Delhi,student,LOCATION_0091,PHONE_00199,none,0
PERSON_0200,Shalini Mishra,Shalini Mishra,41,F,Delhi,mechanic,LOCATION_0071,PHONE_00200,none,0
PERSON_0201,Nikhil Pandey,nikhil pandey,25,M,Indore,accountant,LOCATION_0298,PHONE_00201,none,1
PERSON_0202,Preeti Mishra,Preeti M.,29,F,Bhopal,private employee,LOCATION_0229,PHONE_00202,none,0
PERSON_0203,Manju Bhatt,Manju Bhatt,19,F,Chandigarh,driver,LOCATION_0134,PHONE_00203,none,1
PERSON_0204,Deepak Meena,Deepak Meena,40,M,Lucknow,shopkeeper,LOCATION_0023,PHONE_00204,none,0
PERSON_0205,Harish Reddy,HARISH REDDY,63,M,Jaipur,electrician,LOCATION_0192,PHONE_00205,none,0
PERSON_0206,Arjun Sharma,ArjunSharma,30,M,Jaipur,electrician,LOCATION_0232,PHONE_00206,none,0
PERSON_0207,Tanvi Joshi,Tanvi J.,58,F,Mumbai,clerk,LOCATION_0116,PHONE_00207,none,0
PERSON_0208,Kavita Meena,kavita meena,24,F,Chandigarh,unemployed,LOCATION_0154,PHONE_00208,none,1
PERSON_0209,Shalini Mishra,Shalini Mishra,25,F,Hyderabad,trader,LOCATION_0260,PHONE_00209,none,1
PERSON_0210,Deepika Nair,Deepika Nair,50,F,Lucknow,farmer,LOCATION_0293,PHONE_00210,none,0
PERSON_0211,Amit Iyer,Amit Iyer,60,M,Lucknow,electrician,LOCATION_0133,PHONE_00211,flagged,0
PERSON_0212,Sunita Bhatt,SUNITA BHATT,43,F,Pune,clerk,LOCATION_0067,PHONE_00212,none,1
PERSON_0213,Arjun Reddy,ARJUN REDDY,32,M,Hyderabad,unemployed,LOCATION_0070,PHONE_00213,none,0
PERSON_0214,Anjali Naidu,Anjali Naidu,53,F,Lucknow,salesperson,LOCATION_0253,PHONE_00214,none,0
PERSON_0215,Kirti Joshi,kirti joshi,52,F,Pune,salesperson,LOCATION_0017,PHONE_00215,none,1
PERSON_0216,Sunita Saxena,sunita saxena,52,F,Jaipur,accountant,LOCATION_0162,PHONE_00216,none,0
PERSON_0217,Swati Joshi,Swati Joshi,50,F,Hyderabad,private employee,LOCATION_0160,PHONE_00217,none,0
PERSON_0218,Nisha Kapoor,Nisha Kapoor,60,F,Jaipur,delivery worker,LOCATION_0162,PHONE_00218,none,1
PERSON_0219,Nisha Kapoor,nisha kapoor,61,F,Indore,clerk,LOCATION_0158,PHONE_00219,flagged,0
PERSON_0220,Rahul Reddy,Rahul Reddy,26,M,Hyderabad,accountant,LOCATION_0200,PHONE_00220,none,0
PERSON_0221,Nikhil Gupta,Nikhil Gupta,57,M,Bhopal,trader,LOCATION_0019,PHONE_00221,none,1
PERSON_0222,Rekha Joshi,Rekha Joshi,59,F,Hyderabad,trader,LOCATION_0070,PHONE_00222,none,0
PERSON_0223,Tanvi Tiwari,Tanvi T.,51,F,Ahmedabad,electrician,LOCATION_0185,PHONE_00223,none,0
PERSON_0224,Mohit Saxena,Mohit Saxena,36,M,Pune,electrician,LOCATION_0247,PHONE_00224,none,0
PERSON_0225,Isha Malhotra,IshaMalhotra,55,F,Hyderabad,self-employed,LOCATION_0010,PHONE_00225,none,0
PERSON_0226,Ashok Bansal,Ashok Bansal,37,M,Chandigarh,unemployed,LOCATION_0054,PHONE_00226,none,0
PERSON_0227,Geeta Iyer,Geeta Iyer,28,F,Lucknow,driver,LOCATION_0143,PHONE_00227,none,0
PERSON_0228,Rahul Reddy,Rahul R.,25,M,Mumbai,student,LOCATION_0256,PHONE_00228,none,0
